rentree_scolaire;UAI;departement;academie;region;patronyme;indice_eloignement
2021;0141687H;CALVADOS;NORMANDIE;NORMANDIE;LYCÉE POLYVALENT JULES VERNE - LYCÉE DES MÉTIERS DE L'AUTOMOBILE, DES INGÉNIERIES ÉLECTRIQUES ET INDUSTRIELLES;97.7
2021;0350048M;ILLE-ET-VILAINE;RENNES;BRETAGNE;LYCÉE POLYVALENT JACQUES CARTIER;97.7
2021;0690125L;RHONE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE PROFESSIONNEL CAMILLE CLAUDEL - LYCÉE DES MÉTIERS DE LA CHAPELLERIE, DU TERTIAIRE COMMERCIAL ET ADMINISTRATIF;97.7
2021;0750794F;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL BRASSAI - LYCÉE DES MÉTIERS DE LA PHOTOGRAPHIE ET DE L'IMAGE;97.7
2021;0752961L;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL GUSTAVE EIFFEL;97.7
2021;0850028U;VENDEE;NANTES;PAYS DE LA LOIRE;LYCÉE PROFESSIONNEL EDOUARD BRANLY;97.7
2021;9710923B;GUADELOUPE;GUADELOUPE;GUADELOUPE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE JARDIN D'ESSAI;97.7
2021;0130038W;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE MARSEILLEVEYRE (A ABSORBÉ L'UAI 0131923V EN 2022);97.8
2021;0141178E;CALVADOS;NORMANDIE;NORMANDIE;LYCÉE TECHNOLOGIQUE PRIVÉ SAINTE URSULE;97.8
2021;0311190A;HAUTE-GARONNE;TOULOUSE;OCCITANIE;LYCÉE PROFESSIONNEL PRIVÉ SKHOLE D'ART TOULOUSE - LYCÉE DES MÉTIERS DE LA COIFFURE ET DE L'ESTHÉTIQUE;97.8
2021;0381683Y;ISERE;GRENOBLE;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ NOTRE DAME DES VICTOIRES;97.8
2021;0382203N;ISERE;GRENOBLE;AUVERGNE-RHONE-ALPES;LYCÉE POLYVALENT PABLO NERUDA - LYCÉE DES MÉTIERS DE L'ÉLECTRICITÉ ET DE SES ENVIRONNEMENTS CONNECTÉS;97.8
2021;0572027U;MOSELLE;NANCY-METZ;GRAND EST;LYCÉE POLYVALENT ROSA PARKS;97.8
2021;0593066M;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL PRIVÉ JEAN PAUL II;97.8
2021;0595786U;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE JEAN PROUVÉ;97.8
2021;0772292Y;SEINE-ET-MARNE;CRETEIL;ILE-DE-FRANCE;LYCÉE POLYVALENT MARTIN LUTHER KING;97.8
2021;0951618T;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL AUGUSTE ESCOFFIER, LYCÉE DES MÉTIERS DE LA GASTRONOMIE ET DES TECHNIQUES DU FROID;97.8
2021;0180007K;CHER;ORLEANS-TOURS;CENTRE-VAL DE LOIRE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE JACQUES COEUR;97.9
2021;0311219G;HAUTE-GARONNE;TOULOUSE;OCCITANIE;LYCÉE PROFESSIONNEL PRIVÉ SAINTE-MARIE SAINT-SERNIN - LYCÉE DES MÉTIERS COMMERCIAUX ET ADMINISTRATIFS;97.9
2021;0332468D;GIRONDE;BORDEAUX;NOUVELLE-AQUITAINE;LYCÉE TECHNOLOGIQUE ST LOUIS - LYCÉE DES MÉTIERS DE LA BIOLOGIE ET DE LA CHIMIE;97.9
2021;0422052C;LOIRE;LYON;AUVERGNE-RHONE-ALPES;ECOLE PROFESSIONNELLE PRIVÉE DE L'ASSOCIATION FORÉZIENNE D'ECOLES DE PRODUCTION;97.9
2021;0440166S;LOIRE-ATLANTIQUE;NANTES;PAYS DE LA LOIRE;LYCÉE GÉNÉRAL PRIVÉ NOTRE-DAME DE TOUTES AIDES;97.9
2021;0511147V;MARNE;REIMS;GRAND EST;LYCÉE POLYVALENT PRIVÉ FRÉDÉRIC OZANAM - LYCÉE DES MÉTIERS DES SERVICES À LA PERSONNE;97.9
2021;0594424N;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE RAYMOND QUENEAU;97.9
2021;0595787V;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL ALAIN SAVARY - LYCÉE DES MÉTIERS;97.9
